feature,games,baseline_win_rate,disabled_win_rate,win_rate_delta,baseline_rounds,disabled_rounds,round_delta
hero:fire_guardian,1500,0.5486666666666666,0.502,-0.046666666666666634,5.152,5.201,0.04899999999999949
hero:water_guardian,1500,0.5486666666666666,0.5513333333333333,0.002666666666666706,5.152,5.143,-0.009000000000000341
hero:wind_guardian,1500,0.5486666666666666,0.548,-0.0006666666666665932,5.152,5.5115,0.3594999999999997
hero:earth_guardian,1500,0.5486666666666666,0.584,0.03533333333333333,5.152,5.2265,0.07449999999999957
location:fire,1500,0.5486666666666666,0.544,-0.004666666666666597,5.152,5.164333333333333,0.012333333333333307
location:water,1500,0.5486666666666666,0.5606666666666666,0.01200000000000001,5.152,5.1895,0.037499999999999645
location:wind,1500,0.5486666666666666,0.53,-0.01866666666666661,5.152,5.266333333333334,0.11433333333333362
location:earth,1500,0.5486666666666666,0.5786666666666667,0.030000000000000027,5.152,5.188166666666667,0.03616666666666646
reward:fire_crystal,1500,0.5486666666666666,0.5386666666666666,-0.010000000000000009,5.152,5.208666666666667,0.05666666666666664
reward:water_crystal,1500,0.5486666666666666,0.5293333333333333,-0.019333333333333313,5.152,5.421833333333334,0.2698333333333336
reward:wind_crystal,1500,0.5486666666666666,0.5573333333333333,0.008666666666666711,5.152,5.251166666666666,0.09916666666666618
reward:earth_crystal,1500,0.5486666666666666,0.534,-0.014666666666666606,5.152,5.150833333333333,-0.0011666666666672043
